Price,Land Size,Building Size,Year Built,Rooms,County
"USD $234,900",687.97 m2,179.86 m2,1907,"4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Wayne
"USD $45,000",,145.67 m2,1974,"2 bedroom(s), 2 bathroom(s)",
"USD $150,000",,160.54 m2,1902,,Black Hawk
"USD $399,900","4,046.86 m2",265.33 m2,1987,3 bathroom(s),Androscoggin
"USD $265,000",687.97 m2,119.94 m2,1950,"3 bedroom(s), 2 bathroom(s)",Cuyahoga
"USD $229,900","2,468.58 m2",105.91 m2,1985,"3 bedroom(s), 2 bathroom(s)",Fentress
"USD $219,900","1,371.89 m2",92.90 m2,1956,"3 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Putnam
"USD $1,150,888",650.33 m2,175.22 m2,1958,"3 bedroom(s), 3 bathroom(s)",Nassau County
"USD $310,000",445.15 m2,154.03 m2,2016,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Polk
"USD $399,999","1,045.30 m2",162.77 m2,2025,"4 bedroom(s), 3 bathroom(s)",Lee
"USD $299,000",,212.19 m2,1976,"4 bedroom(s), 3 bathroom(s)",Litchfield
"USD $399,900","4,046.86 m2",265.33 m2,1983,"4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Androscoggin
"USD $1,795,000",240.38 m2,113.81 m2,1921,"2 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Los Angeles
"USD $739,000",566.56 m2,120.12 m2,1930,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Pinellas
"USD $599,000","1,256.95 m2",,,,Lee
"USD $328,500","3,965.92 m2",168.34 m2,2023,"4 bedroom(s), 2 bathroom(s)",Meade
"USD $370,000","1,091.03 m2",217.30 m2,2004,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Erie
"USD $440,000","2,954.21 m2",257.81 m2,2022,"5 bedroom(s), 3 bathroom(s)",Cumberland
"USD $2,095,000","1,902.02 m2",429.96 m2,1997,"5 bedroom(s), 5 bathroom(s)",Duval
"USD $460,000",323.75 m2,171.41 m2,,"2 bedroom(s), 2 bathroom(s)",Montrose
"USD $150,000","3,993.04 m2",102.47 m2,1940,"3 bedroom(s), 2 bathroom(s)",Yadkin
"USD $214,990","1,254.53 m2",143.63 m2,1972,"3 bedroom(s), 2 bathroom(s)",Pitt
"USD $649,900","20,517.58 m2",132.57 m2,1988,"2 bedroom(s), 3 bathroom(s)",
"USD $270,000","3,844.52 m2",159.24 m2,1946,"3 bedroom(s), 2 bathroom(s)",Duval
"USD $379,000",,113.43 m2,1987,"2 bedroom(s), 2 bathroom(s)",Washington
"USD $599,000",674.20 m2,219.72 m2,2019,"4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Riverside
"USD $262,990",80.94 m2,128.30 m2,2025,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Sullivan
"USD $262,990",80.94 m2,128.30 m2,2025,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Sullivan
"USD $105,000","1,145.26 m2",,,,Polk
"USD $299,900","1,254.53 m2",185.16 m2,1965,"3 bedroom(s), 2 bathroom(s)",Greene
"USD $170,000",,133.78 m2,1970,"3 bedroom(s), 2 bathroom(s)",Clark
"USD $262,990",80.94 m2,128.30 m2,2025,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Sullivan
"USD $155,000",48.56 m2,,1971,"1 bedroom(s), 1 bathroom(s)",Fulton
"USD $375,000","1,982.96 m2",193.05 m2,1991,"5 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Pike
"USD $225,000","1,416.40 m2",178.28 m2,1966,"3 bedroom(s), 2 bathroom(s)",Blackhawk
"USD $349,000","22,419.60 m2",,,,Leelanau
"USD $155,000",48.56 m2,50.17 m2,1971,"1 bedroom(s), 1 bathroom(s)",Fulton - GA
"USD $149,900",,49.05 m2,1946,"1 bedroom(s), 1 bathroom(s)",Lancaster
"USD $895,000",404.69 m2,323.67 m2,1890,3 bathroom(s),Cumberland
"USD $795,000",,159.79 m2,2007,"3 bedroom(s), 3 bathroom(s)",Putnam
"USD $460,000","2,266.24 m2",344.76 m2,1990,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Pike
"USD $649,000",210.44 m2,196.95 m2,1930,"4 bedroom(s), 2 bathroom(s)",Bronx County
"USD $215,000",,118.17 m2,1975,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Hillsborough
"USD $179,900",404.69 m2,190.27 m2,1910,"4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Kosciusko County
"USD $231,900",971.25 m2,169.73 m2,1994,"3 bedroom(s), 2 bathroom(s)",Marion
"USD $525,000","2,104.37 m2",250.84 m2,2025,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Faulkner
"USD $287,000",,,1898,5 bedroom(s),Cook
"USD $1,488,000","3,844.52 m2",431.53 m2,1974,"5 bedroom(s), 4 bathroom(s)",FAIRFAX
"USD $165,000",,112.04 m2,2008,"3 bedroom(s), 3 bathroom(s)",Hidalgo
"USD $365,000","1,618.74 m2",172.89 m2,1998,"4 bedroom(s), 3 bathroom(s)",Iredell
"USD $387,000",689.99 m2,182.09 m2,2018,"3 bedroom(s), 2 bathroom(s)",Cleveland
"USD $165,000",827.18 m2,112.04 m2,2008,"3 bedroom(s), 3 bathroom(s)",Hidalgo
"USD $284,900",768.90 m2,120.77 m2,2025,"3 bedroom(s), 2 bathroom(s)",Bowie County
"USD $249,900",,104.05 m2,1983,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Albemarle
